assessmentYear,slabIncome,slabTaxAmount,nextSlabIncome,nextSlabTaxRate
2022,20000,0,10000,2
2022,30000,200,10000,3.5
2022,40000,550,40000,7
2022,80000,3350,40000,11.5
2022,120000,7950,40000,15
2022,160000,13950,40000,18
2022,200000,21150,40000,19
2022,240000,28750,40000,19.5
2022,280000,36550,40000,20
2022,320000,44550,NA,22
2023,20000,0,10000,2
2023,30000,200,10000,3.5
2023,40000,550,40000,7
2023,80000,3350,40000,11.5
2023,120000,7950,40000,15
2023,160000,13950,40000,18
2023,200000,21150,40000,19
2023,240000,28750,40000,19.5
2023,280000,36550,40000,20
2023,320000,44550,NA,22
2024,20000,0,10000,2
2024,30000,200,10000,3.5
2024,40000,550,40000,7
2024,80000,3350,40000,11.5
2024,120000,7950,40000,15
2024,160000,13950,40000,18
2024,200000,21150,40000,19
2024,240000,28750,40000,19.5
2024,280000,36550,40000,20
2024,320000,44550,180000,22
2024,500000,84150,500000,23
2024,1000000,199150,NA,24
